Minima;;;;Maxima
Sample;Phase [h];milliVolt [mV];;Sample;Phase [h];milliVolt [mV]
;18.0;5.894663940725962;;;4.0;5.894663940725962
;11.0;5.940501195138215;;;11.0;5.940501195138215
;2.0;5.956156686247106;;;11.0;5.956156686247106
30;11.0;6.333831680069933;;30;3.0;6.827219822843846
;13.0;6.827219822843846;;;1.0;6.828868594405616
;11.0;6.828868594405616;;;0.0;6.633960161838185
;16.0;6.633960161838185;;;5.0;6.666110813053635
;16.0;6.666110813053635;;;2.0;6.582267363969386
;12.0;6.582267363969386;;;20.0;6.562570782698804
;10.0;6.562570782698804;;;--
31;12.0;6.254621519813523;;31;22.0;6.6589915561771775
;12.0;6.6589915561771775;;;22.0;6.492074228438249
;10.0;6.492074228438249;;;3.0;6.4123437226107445
;13.0;6.533645625485647;;;11.0;6.956645937395961
;15.0;6.4123437226107445;;;12.0;7.030281275270202
;11.0;6.956645937395961;;;--
;12.0;7.030281275270202;;;--
32;14.0;0.05338206660006666;;32;16.0;0.05338206660006666
;19.0;0.05260015073815092;;;8.0;0.05260015073815092
;2.0;0.05233404475524493;;;15.0;0.05233404475524493
;11.0;0.05321826240426259;;;8.0;0.05321826240426259
;11.0;0.053640989898990084;;;11.0;0.053640989898990084
;11.0;0.05326961371961391;;;12.0;0.05326961371961391
;13.0;0.05363056254856269;;;11.0;0.05363056254856269
