26.07.2016	13:30:00
h	°C	1	2	3	4
3,06117	26,2	6,05957	7,37305	7,67090	7,04102
3,06395	26,1	5,99609	7,35840	7,65625	7,04102
3,06673	26,1	6,00098	7,33398	7,63672	7,05078
3,06951	26,0	5,97656	7,33398	7,62695	7,03125
3,07229	26,0	5,97656	7,33887	7,57813	7,01172
3,07507	26,0	5,92285	7,37305	7,62207	6,98242
3,07785	26,0	5,86914	7,32422	7,64160	6,99219
3,08063	26,0	5,84961	7,31445	7,62207	7,01172
3,08341	26,0	5,82031	7,27539	7,60254	7,00684
3,08619	26,0	5,81055	7,28516	7,55371	6,97266
3,08897	25,9	5,76172	7,29004	7,57813	6,92383
3,09175	25,9	5,72266	7,28516	7,56836	6,94336
3,09453	25,9	5,65430	7,28027	7,59766	6,94336
3,09731	25,9	5,64941	7,22656	7,55859	6,97266
3,10009	25,8	5,63477	7,26074	7,52930	6,91406
3,10287	25,8	5,59570	7,26563	7,53418	6,89453
3,10565	25,8	5,55664	7,25586	7,54395	6,89453
3,10843	25,8	5,50781	7,24609	7,53906	6,89453
3,11121	25,8	5,49805	7,20703	7,52930	6,88965
3,11399	25,7	5,49316	7,22656	7,50488	6,86523
3,11677	25,7	5,44922	7,25098	7,51953	6,86035
3,11955	25,7	5,40039	7,21680	7,56348	6,87012
3,12233	25,7	5,39551	7,19727	7,50488	6,89453
3,12511	25,7	5,37109	7,21191	7,45605	6,86035
3,12789	25,7	5,32227	7,25098	7,50000	6,81641
3,13067	25,6	5,28809	7,21680	7,53906	6,83594
3,13345	25,6	5,26855	7,20215	7,49512	6,87500
3,13623	25,6	5,25391	7,21680	7,47070	6,83594
3,13901	25,6	5,21973	7,21680	7,45117	6,82617
3,14179	25,6	5,20996	7,21680	7,44141	6,82617
3,14456	25,6	5,18555	7,20703	7,45117	6,81641
3,14734	25,6	5,14648	7,21191	7,46094	6,79688
3,15012	25,6	5,11719	7,24121	7,46094	6,76758
3,15290	25,6	5,10254	7,21191	7,44141	6,80176
3,15567	25,6	5,08789	7,19727	7,47070	6,78711
3,15845	25,5	5,06836	7,16797	7,43164	6,82617
3,16123	25,5	5,02930	7,20703	7,47070	6,78711
3,16401	25,5	5,01953	7,20703	7,47070	6,78711
4,00002	26,7	7,23633	7,76367	7,99805	7,54395
4,00280	26,7	7,20215	7,74414	7,98828	7,53418
4,00557	26,7	7,16797	7,73438	7,98828	7,50977
4,00836	26,7	7,08984	7,71484	7,97852	7,45117
4,01114	26,7	7,00195	7,67578	7,95410	7,36816
4,01392	26,6	6,89453	7,62695	7,92969	7,28516
4,01670	26,6	6,77734	7,57813	7,90039	7,22168
4,01948	26,6	6,69434	7,54395	7,88086	7,18262
4,02226	26,6	6,62598	7,51953	7,86133	7,14844
4,02504	26,6	6,55273	7,48047	7,84180	7,10938
4,02782	26,5	6,48438	7,46094	7,82227	7,07031
